,PRICE,PRICE_RATING
4,498.00,5.0
5,498.00,5.0
11,399.00,5.0
12,399.00,5.0
13,399.00,5.0
14,399.00,5.0
15,399.00,5.0
16,399.00,5.0
17,399.00,5.0
18,399.00,5.0
19,399.00,3.0
20,399.00,3.0
24,249.00,5.0
25,249.00,5.0
26,249.00,5.0
27,249.00,5.0
28,249.00,5.0
29,249.00,5.0
30,249.00,5.0
31,249.00,5.0
32,399.00,5.0
33,399.00,5.0
34,399.00,5.0
35,399.00,5.0
36,399.00,5.0
37,399.00,5.0
38,399.00,4.0
39,399.00,5.0
40,399.00,4.0
41,399.00,5.0
42,399.00,4.0
43,399.00,5.0
44,399.00,4.0
45,399.00,4.0
46,399.00,4.0
47,399.00,5.0
48,399.00,4.0
49,399.00,4.0
50,399.00,4.0
51,399.00,4.0
52,399.00,5.0
53,399.00,4.0
54,399.00,4.0
55,399.00,5.0
56,399.00,5.0
57,399.00,5.0
58,399.00,4.0
59,399.00,5.0
60,399.00,5.0
61,399.00,5.0
62,399.00,4.0
63,399.00,4.0
64,399.00,4.0
65,399.00,5.0
66,399.00,4.0
67,399.00,5.0
68,399.00,4.0
69,399.00,5.0
70,399.00,5.0
71,399.00,4.0
72,399.00,4.0
73,399.00,5.0
74,399.00,5.0
75,399.00,5.0
76,399.00,5.0
77,399.00,5.0
78,399.00,4.0
79,399.00,5.0
80,399.00,5.0
81,399.00,5.0
82,249.00,5.0
83,249.00,5.0
84,249.00,5.0
85,249.00,5.0
86,249.00,5.0
87,249.00,5.0
88,249.00,5.0
89,249.00,5.0
90,249.00,5.0
91,249.00,4.0
92,249.00,4.0
93,249.00,5.0
94,249.00,5.0
95,249.00,4.0
96,249.00,5.0
97,249.00,5.0
98,249.00,5.0
99,699.00,5.0
100,699.00,5.0
101,699.00,5.0
102,699.00,5.0
103,699.00,5.0
104,699.00,5.0
105,699.00,4.0
106,699.00,5.0
107,699.00,4.0
108,699.00,5.0
109,699.00,5.0
110,699.00,5.0
111,699.00,5.0
112,699.00,5.0
113,699.00,5.0
114,699.00,5.0
115,699.00,5.0
116,699.00,5.0
117,699.00,5.0
118,699.00,5.0
119,699.00,4.0
120,699.00,5.0
121,699.00,5.0
122,699.00,5.0
123,699.00,5.0
124,699.00,5.0
125,699.00,5.0
126,699.00,5.0
127,699.00,5.0
128,699.00,5.0
129,699.00,4.0
130,699.00,4.0
131,699.00,4.0
132,699.00,5.0
133,699.00,5.0
134,699.00,4.0
135,699.00,5.0
136,699.00,5.0
137,699.00,5.0
138,699.00,5.0
139,699.00,4.0
140,699.00,4.0
141,699.00,5.0
142,699.00,5.0
143,699.00,4.0
144,699.00,5.0
145,699.00,5.0
146,699.00,4.0
147,699.00,5.0
148,699.00,5.0
149,699.00,4.0
150,699.00,5.0
151,699.00,5.0
152,699.00,4.0
153,699.00,4.0
154,699.00,4.0
155,699.00,4.0
156,699.00,5.0
157,699.00,5.0
158,699.00,5.0
159,699.00,5.0
160,699.00,5.0
161,699.00,5.0
163,699.00,5.0
164,699.00,5.0
165,699.00,5.0
166,699.00,5.0
167,699.00,4.0
168,699.00,4.0
169,699.00,4.0
170,699.00,5.0
171,699.00,5.0
172,699.00,5.0
173,699.00,4.0
174,699.00,4.0
175,699.00,4.0
176,699.00,4.0
177,699.00,5.0
178,699.00,5.0
179,699.00,5.0
180,699.00,5.0
181,699.00,5.0
182,699.00,4.0
183,699.00,5.0
184,699.00,5.0
185,699.00,5.0
186,699.00,5.0
187,699.00,4.0
188,699.00,4.0
189,699.00,4.0
190,699.00,4.0
191,699.00,5.0
192,699.00,5.0
193,699.00,5.0
194,699.00,5.0
195,699.00,4.0
196,699.00,5.0
197,699.00,5.0
198,699.00,4.0
199,699.00,5.0
200,699.00,5.0
201,699.00,4.0
202,699.00,5.0
203,699.00,5.0
204,699.00,4.0
205,699.00,4.0
206,699.00,5.0
207,699.00,5.0
208,699.00,5.0
209,699.00,5.0
210,699.00,5.0
211,699.00,5.0
212,699.00,5.0
213,599.00,5.0
214,599.00,4.0
215,599.00,5.0
216,599.00,4.0
217,599.00,5.0
218,599.00,5.0
219,599.00,5.0
220,599.00,5.0
221,599.00,5.0
222,599.00,4.0
223,599.00,5.0
224,599.00,5.0
225,599.00,5.0
226,599.00,5.0
227,599.00,5.0
228,599.00,4.0
229,599.00,4.0
230,599.00,4.0
231,599.00,5.0
232,599.00,4.0
233,599.00,4.0
234,599.00,4.0
235,599.00,4.0
236,599.00,4.0
237,599.00,5.0
238,599.00,5.0
239,599.00,4.0
240,599.00,5.0
241,599.00,4.0
242,599.00,5.0
243,599.00,4.0
244,599.00,4.0
245,599.00,5.0
246,599.00,5.0
247,599.00,4.0
248,599.00,4.0
249,599.00,4.0
250,599.00,4.0
251,599.00,4.0
252,599.00,4.0
253,599.00,4.0
254,599.00,4.0
255,599.00,5.0
256,599.00,4.0
257,599.00,4.0
258,599.00,4.0
259,599.00,5.0
260,599.00,5.0
261,599.00,5.0
262,599.00,4.0
263,599.00,4.0
264,599.00,4.0
265,599.00,5.0
266,599.00,5.0
267,599.00,5.0
268,599.00,5.0
269,599.00,5.0
270,599.00,4.0
271,599.00,5.0
272,699.00,5.0
273,699.00,4.0
274,699.00,4.0
275,699.00,5.0
276,699.00,5.0
277,699.00,5.0
278,699.00,5.0
279,699.00,4.0
280,699.00,5.0
281,699.00,5.0
282,699.00,5.0
283,699.00,5.0
284,699.00,5.0
285,699.00,5.0
286,699.00,4.0
287,699.00,5.0
288,699.00,5.0
289,699.00,5.0
290,699.00,4.0
291,699.00,4.0
292,699.00,4.0
293,699.00,5.0
294,699.00,5.0
295,699.00,5.0
296,699.00,4.0
297,699.00,5.0
298,699.00,5.0
299,699.00,5.0
300,699.00,4.0
301,699.00,4.0
302,699.00,4.0
303,699.00,5.0
304,699.00,4.0
305,699.00,4.0
306,699.00,4.0
307,699.00,5.0
308,699.00,5.0
309,699.00,4.0
310,699.00,5.0
311,699.00,5.0
312,699.00,5.0
313,699.00,5.0
314,699.00,5.0
315,699.00,4.0
316,699.00,5.0
317,699.00,5.0
318,699.00,4.0
319,699.00,4.0
320,699.00,5.0
321,699.00,5.0
322,699.00,4.0
323,699.00,5.0
324,699.00,5.0
325,699.00,4.0
326,698.00,5.0
327,698.00,5.0
328,698.00,4.0
329,698.00,5.0
330,698.00,5.0
331,698.00,5.0
332,698.00,4.0
333,698.00,5.0
334,698.00,5.0
335,698.00,5.0
336,698.00,5.0
337,698.00,4.0
338,698.00,5.0
339,698.00,5.0
340,698.00,4.0
341,698.00,4.0
342,698.00,5.0
343,498.00,5.0
344,498.00,5.0
345,498.00,5.0
346,498.00,5.0
347,498.00,5.0
348,498.00,5.0
349,498.00,5.0
350,498.00,5.0
351,498.00,5.0
352,498.00,5.0
353,498.00,5.0
354,498.00,5.0
355,498.00,5.0
356,498.00,5.0
357,498.00,5.0
358,498.00,4.0
359,498.00,5.0
360,498.00,5.0
361,498.00,5.0
362,498.00,5.0
363,498.00,4.0
364,498.00,4.0
365,498.00,4.0
366,498.00,5.0
367,498.00,5.0
368,498.00,5.0
369,498.00,5.0
370,498.00,4.0
371,498.00,5.0
372,498.00,5.0
373,498.00,4.0
374,498.00,5.0
375,498.00,4.0
376,498.00,4.0
377,498.00,5.0
378,498.00,5.0
379,498.00,5.0
380,750.00,5.0
381,750.00,5.0
382,750.00,4.0
383,750.00,5.0
384,750.00,4.0
385,750.00,5.0
386,750.00,5.0
387,750.00,4.0
388,750.00,4.0
389,750.00,4.0
